City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Luderitz,NA,2020-09-03 20:54:17,-26.65,15.16,57.63,53,0,2.8,clear sky
86,Broome,US,2020-09-03 21:03:56,42.25,-75.83,73.0,73,40,11.41,scattered clouds
87,Acapulco,MX,2020-09-03 21:03:56,16.86,-99.89,87.8,66,40,11.41,scattered clouds
88,Kavieng,PG,2020-09-03 21:03:56,-2.57,150.8,82.27,77,96,4.63,overcast clouds
89,Kushiro,JP,2020-09-03 20:54:18,42.98,144.37,65.03,96,99,5.03,overcast clouds
90,San Cristobal,VE,2020-09-03 21:02:56,7.77,-72.22,89.6,49,40,16.11,thunderstorm
91,Bonthe,SL,2020-09-03 20:54:18,7.53,-12.51,77.05,81,100,8.39,overcast clouds
92,Acarau,BR,2020-09-03 21:03:57,-2.89,-40.12,78.69,67,19,16.6,few clouds
93,Yerbogachen,RU,2020-09-03 20:54:19,61.28,108.01,49.37,75,100,5.35,overcast clouds
94,Hilo,US,2020-09-03 21:03:00,19.73,-155.09,82.4,58,75,5.82,broken clouds
95,Esperance,AU,2020-09-03 21:00:11,-33.87,121.9,48.2,93,28,10.29,scattered clouds
96,Roma,US,2020-09-03 21:03:52,43.21,-75.46,77.0,60,75,9.17,broken clouds
97,Pilot Butte,CA,2020-09-03 20:54:19,50.47,-104.42,68.0,37,75,25.28,broken clouds
98,Kapaa,US,2020-09-03 21:03:58,22.08,-159.32,84.2,66,20,12.75,few clouds
99,Hobart,AU,2020-09-03 21:03:27,-42.88,147.33,48.2,61,40,9.17,scattered clouds
100,Bluff,NZ,2020-09-03 21:03:58,-46.6,168.33,45.0,72,100,11.01,overcast clouds
101,Coahuayana,MX,2020-09-03 20:54:20,18.73,-103.68,82.4,78,75,11.41,broken clouds
102,Yellowknife,CA,2020-09-03 21:01:27,62.46,-114.35,51.8,49,40,5.82,scattered clouds
103,Goderich,CA,2020-09-03 20:59:38,43.75,-81.72,81.0,66,32,23.49,scattered clouds
104,Namatanai,PG,2020-09-03 21:03:59,-3.67,152.43,81.0,79,100,4.21,overcast clouds
105,Krasnyy Chikoy,RU,2020-09-03 20:54:21,50.36,108.75,45.55,86,0,1.07,clear sky
106,Algiers,DZ,2020-09-03 20:52:12,36.75,3.04,75.2,60,0,11.41,clear sky
107,Atuona,PF,2020-09-03 21:04:00,-9.8,-139.03,78.28,77,5,19.71,clear sky
108,Tual,ID,2020-09-03 21:04:00,-5.67,132.75,79.97,83,56,20.89,broken clouds
109,Kodiak,US,2020-09-03 21:04:00,57.79,-152.41,51.22,72,76,1.28,light rain
