City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Georgetown,MY,2020-09-03 17:09:22,5.41,100.34,82.0,83,20,4.7
97,Manzil Salim,TN,2020-09-03 17:09:23,35.86,8.48,62.6,100,75,4.7
98,Kodiak,US,2020-09-03 17:09:07,57.79,-152.41,47.66,78,73,5.1
99,Westport,US,2020-09-03 17:04:39,41.14,-73.36,84.0,42,1,9.17
100,Iwanai,JP,2020-09-03 17:09:23,42.97,140.51,72.43,86,7,8.88
101,East London,ZA,2020-09-03 17:04:55,-33.02,27.91,64.4,68,0,3.36
102,Chuy,UY,2020-09-03 17:09:24,-33.7,-53.46,54.5,78,76,11.56
103,Alugan,PH,2020-09-03 17:09:24,12.22,125.48,80.8,79,84,4.76
104,Urumqi,CN,2020-09-03 17:05:09,43.8,87.6,84.2,20,79,13.42
105,Wukari,NG,2020-09-03 17:09:24,7.85,9.78,80.55,85,74,2.77
106,Lata,PT,2020-09-03 17:09:25,40.16,-8.33,93.99,37,0,9.66
107,Severo-Kurilsk,RU,2020-09-03 17:09:25,50.68,156.12,54.34,93,100,11.48
108,Vardo,NO,2020-09-03 17:09:25,70.37,31.11,60.8,55,72,14.99
109,Marsaxlokk,MT,2020-09-03 17:09:25,35.84,14.54,80.6,69,20,8.05
110,Korgen,NO,2020-09-03 17:09:26,66.08,13.82,66.2,48,20,12.75
111,Shitanjing,CN,2020-09-03 17:09:26,39.23,106.34,66.88,26,0,6.82
112,Trinidad,BO,2020-09-03 17:09:26,-14.83,-64.9,80.6,51,26,3.36
113,Kavaratti,IN,2020-09-03 17:09:26,10.57,72.64,81.97,79,91,10.0
114,Yar-Sale,RU,2020-09-03 17:09:27,66.83,70.83,47.23,74,63,16.62
115,Ponta Do Sol,PT,2020-09-03 17:09:27,32.67,-17.1,72.0,66,34,1.16
116,Yumen,CN,2020-09-03 17:09:27,40.28,97.2,68.92,21,2,12.06
117,Barrow,US,2020-09-03 17:05:25,71.29,-156.79,37.4,86,90,17.22
118,Iqaluit,CA,2020-09-03 17:06:41,63.75,-68.51,50.0,57,75,12.75
119,Cabedelo,BR,2020-09-03 17:09:28,-6.98,-34.83,80.6,61,75,18.34
120,Asmar,AF,2020-09-03 17:09:28,35.03,71.36,74.82,60,2,1.99
121,Kaitangata,NZ,2020-09-03 17:09:29,-46.28,169.85,39.99,87,90,5.01
122,Faanui,PF,2020-09-03 17:09:29,-16.48,-151.75,77.07,79,33,16.04
123,Asfi,MA,2020-09-03 17:09:29,32.3,-9.24,74.03,76,15,10.18
124,Dunedin,NZ,2020-09-03 17:08:08,-45.87,170.5,45.0,74,76,4.0
125,Kismayo,SO,2020-09-03 17:09:30,-0.36,42.55,77.05,75,0,16.53
126,Adrar,MR,2020-09-03 17:09:30,20.5,-10.07,106.11,15,22,15.28
127,San Patricio,MX,2020-09-03 17:09:30,19.22,-104.7,86.0,74,75,3.98
128,Talcahuano,CL,2020-09-03 17:05:12,-36.72,-73.12,53.6,81,75,6.93
129,Chokurdakh,RU,2020-09-03 17:09:31,70.63,147.92,38.23,77,98,5.88
130,Codrington,AU,2020-09-03 17:09:31,-38.27,141.97,43.99,90,0,11.05
131,Avarua,CK,2020-09-03 17:09:31,-21.21,-159.78,75.2,88,91,14.99
132,Port Macquarie,AU,2020-09-03 17:09:32,-31.43,152.92,53.6,93,40,6.58
133,Bitung,ID,2020-09-03 17:09:32,1.45,125.18,73.4,94,20,1.12
134,Homnabad,IN,2020-09-03 17:09:32,17.77,77.13,75.78,83,29,5.03
135,Baoqing,CN,2020-09-03 17:09:32,46.33,132.21,70.83,71,84,24.25
136,Ngunguru,NZ,2020-09-03 17:09:33,-35.62,174.5,43.0,3,12,1.99
137,Grindavik,IS,2020-09-03 17:09:33,63.84,-22.43,48.2,70,75,27.51
138,Port Alfred,ZA,2020-09-03 17:09:33,-33.59,26.89,63.46,71,4,11.88
139,Pangkalanbuun,ID,2020-09-03 17:09:33,-2.68,111.62,75.36,96,99,0.09
140,Bilma,NE,2020-09-03 17:09:34,18.69,12.92,100.49,22,58,2.93
141,Mabopane,ZA,2020-09-03 17:09:34,-25.5,28.1,71.6,46,0,6.93
142,Dom Pedrito,BR,2020-09-03 17:09:34,-30.98,-54.67,56.64,76,91,6.6
143,Ballina,AU,2020-09-03 17:09:34,-28.87,153.57,64.4,72,0,10.29
144,Bluff,NZ,2020-09-03 17:09:35,-46.6,168.33,45.0,72,100,11.01
145,Olinda,BR,2020-09-03 17:09:35,-8.01,-34.86,77.0,78,75,21.92
146,Batticaloa,LK,2020-09-03 17:09:35,7.71,81.69,82.29,81,36,6.71
147,Mahebourg,MU,2020-09-03 17:09:35,-20.41,57.7,69.8,77,75,13.87
148,Maralal,KE,2020-09-03 17:09:35,1.1,36.7,67.68,56,87,7.02
149,Novopskov,UA,2020-09-03 17:09:36,49.55,39.09,79.72,39,48,15.23
150,Rio Grande,BR,2020-09-03 17:09:19,-32.03,-52.1,63.0,71,96,7.0
151,Palmer,US,2020-09-03 17:09:36,42.16,-72.33,82.0,44,75,8.05
152,Coquimbo,CL,2020-09-03 17:09:36,-29.95,-71.34,60.8,63,20,16.11
153,Te Anau,NZ,2020-09-03 17:09:37,-45.42,167.72,42.89,82,100,6.85
154,Ugoofaaru,MV,2020-09-03 17:09:37,5.67,73.0,81.82,79,62,17.13
155,Lebu,CL,2020-09-03 17:09:37,-37.62,-73.65,50.04,84,87,2.98
156,Gambela,ET,2020-09-03 17:09:37,8.25,34.58,74.12,85,84,1.48
157,Mount Isa,AU,2020-09-03 17:09:38,-20.73,139.5,57.2,31,0,5.68
158,Balabac,PH,2020-09-03 17:09:38,7.99,117.06,82.65,77,73,7.87
159,Saint George,US,2020-09-03 17:08:26,37.1,-113.58,87.01,18,1,4.7
160,Charters Towers,AU,2020-09-03 17:09:38,-20.1,146.27,60.55,94,0,6.6
161,Bilibino,RU,2020-09-03 17:09:39,68.05,166.44,28.47,96,23,5.39
162,Shushtar,IR,2020-09-03 17:09:39,32.05,48.86,100.4,19,4,2.24
163,Carman,CA,2020-09-03 17:09:39,49.5,-98.0,60.01,54,20,24.16
164,Zhangjiakou,CN,2020-09-03 17:09:39,40.81,114.88,57.16,52,0,4.83
165,Husavik,IS,2020-09-03 17:09:40,66.04,-17.34,42.8,93,90,19.46
166,Saurimo,AO,2020-09-03 17:09:40,-9.66,20.39,80.74,21,24,3.6
167,Naze,JP,2020-09-03 17:09:40,28.37,129.48,80.6,94,100,3.36
168,Bojnurd,IR,2020-09-03 17:09:41,37.47,57.33,75.2,10,0,6.93
169,Galle,LK,2020-09-03 17:07:58,6.04,80.22,80.47,87,70,7.67
170,Lazaro Cardenas,MX,2020-09-03 17:09:41,17.96,-102.2,85.12,72,65,1.57
171,Tuktoyaktuk,CA,2020-09-03 17:09:41,69.45,-133.04,44.6,87,75,13.87
172,Puerto Baquerizo Moreno,EC,2020-09-03 17:09:42,-0.9,-89.6,73.4,69,75,13.87
173,Baryatino,RU,2020-09-03 17:09:42,54.31,34.52,65.46,84,100,8.84
174,Byron Bay,AU,2020-09-03 17:09:42,-28.65,153.62,64.4,72,0,10.29
175,San Borja,BO,2020-09-03 17:09:42,-14.82,-66.85,97.12,23,33,3.47
176,Kampala,UG,2020-09-03 17:06:13,0.32,32.58,75.2,64,20,5.82
177,Butaritari,KI,2020-09-03 17:09:43,3.07,172.79,82.81,67,99,3.22
178,Acari,PE,2020-09-03 17:09:43,-15.43,-74.62,69.24,50,80,10.04
179,Nuuk,GL,2020-09-03 17:09:43,64.18,-51.72,48.2,49,75,2.24
180,Quatre Cocos,MU,2020-09-03 17:09:44,-20.21,57.76,69.8,77,75,13.87
181,Luba,GQ,2020-09-03 17:09:44,3.46,8.55,78.8,100,75,9.17
182,The Valley,AI,2020-09-03 17:09:14,18.22,-63.06,89.6,70,20,13.87
183,Sao Filipe,CV,2020-09-03 17:09:44,14.9,-24.5,79.47,79,38,9.71
184,Coos Bay,US,2020-09-03 17:08:37,43.37,-124.22,62.01,100,90,3.36
185,Tromso,NO,2020-09-03 17:09:45,69.65,18.96,64.4,45,0,26.4
186,Bronkhorstspruit,ZA,2020-09-03 17:09:45,-25.81,28.74,71.6,46,2,6.93
187,Chapais,CA,2020-09-03 17:09:45,49.78,-74.85,62.6,67,75,9.17
188,Caravelas,BR,2020-09-03 17:09:45,-17.71,-39.25,78.6,57,0,8.1
189,Geilo,NO,2020-09-03 17:09:46,60.53,8.21,45.0,86,100,6.15
190,Ancud,CL,2020-09-03 17:09:46,-41.87,-73.82,46.99,87,34,1.01
191,Sao Felix Do Xingu,BR,2020-09-03 17:09:46,-6.64,-51.99,101.66,16,1,4.83
192,Bozhou,CN,2020-09-03 17:09:46,33.88,115.77,66.81,69,0,5.93
193,Bozoum,CF,2020-09-03 17:09:47,6.32,16.38,73.26,88,63,1.95
194,Taoudenni,ML,2020-09-03 17:09:47,22.68,-3.98,113.0,10,44,13.69
195,Grand Island,US,2020-09-03 17:06:20,40.92,-98.34,71.01,37,1,23.04
196,Ekhabi,RU,2020-09-03 17:09:47,53.51,142.97,54.52,89,100,8.55
197,Daru,PG,2020-09-03 17:09:48,-9.08,143.21,76.98,87,98,18.43
198,Basingstoke,GB,2020-09-03 17:09:48,51.26,-1.09,64.99,93,90,13.87
199,Rudnyy,KZ,2020-09-03 17:09:48,52.96,63.12,46.4,65,38,8.95
200,Kingman,US,2020-09-03 17:09:48,35.19,-114.05,93.99,19,1,3.2
201,Aripuana,BR,2020-09-03 17:05:05,-9.17,-60.63,105.76,16,19,2.55
202,Port-Gentil,GA,2020-09-03 17:09:49,-0.72,8.78,78.8,78,75,17.29
203,Piracanjuba,BR,2020-09-03 17:09:49,-17.3,-49.02,91.13,20,0,5.61
204,Mecca,SA,2020-09-03 17:09:12,21.43,39.83,93.97,40,16,5.75
205,Laurel,US,2020-09-03 17:09:50,39.1,-76.85,89.01,58,40,5.35
206,Puerto Leguizamo,CO,2020-09-03 17:09:50,-0.19,-74.78,87.96,63,42,1.86
207,Aden,YE,2020-09-03 17:05:21,12.78,45.04,87.55,65,0,3.98
208,Cap Malheureux,MU,2020-09-03 17:09:50,-19.98,57.61,68.0,77,32,5.01
209,Miyang,CN,2020-09-03 17:09:51,24.4,103.44,65.89,85,99,1.23
210,Port Lincoln,AU,2020-09-03 17:09:51,-34.73,135.87,53.26,80,82,10.29
211,Ribeira Grande,PT,2020-09-03 17:09:51,38.52,-28.7,78.8,69,20,6.93
212,Atuona,PF,2020-09-03 17:09:51,-9.8,-139.03,78.04,78,8,20.04
213,Kaeo,NZ,2020-09-03 17:09:52,-35.1,173.78,43.0,3,5,1.99
214,Narsaq,GL,2020-09-03 17:09:52,60.92,-46.05,51.8,37,75,10.29
215,Oktyabrskiy,RU,2020-09-03 17:09:52,54.48,53.47,48.24,78,0,5.48
216,Samaipata,BO,2020-09-03 17:09:52,-18.15,-63.87,70.16,43,70,11.25
217,Cooma,AU,2020-09-03 17:09:03,-36.23,149.13,48.2,49,85,17.22
218,Sandpoint,US,2020-09-03 17:09:53,48.28,-116.55,68.0,45,1,2.21
219,Lodwar,KE,2020-09-03 17:09:53,3.12,35.6,90.79,26,0,5.93
220,Hasaki,JP,2020-09-03 17:09:53,35.73,140.83,79.0,88,75,2.24
221,Ivybridge,GB,2020-09-03 17:09:53,50.39,-3.92,66.99,99,100,1.99
222,Coihaique,CL,2020-09-03 17:09:54,-45.58,-72.07,48.2,45,75,8.05
223,Anna Paulowna,NL,2020-09-03 17:09:54,52.86,4.83,66.2,93,90,18.34
224,Riyadh,SA,2020-09-03 17:05:16,24.69,46.72,95.0,23,0,2.24
225,Egvekinot,RU,2020-09-03 17:09:54,66.32,-179.17,34.66,86,99,4.34
226,Bengkulu,ID,2020-09-03 17:09:55,-3.8,102.27,77.31,89,99,5.77
227,Manggar,ID,2020-09-03 17:09:55,-2.88,108.27,80.8,83,76,11.79
228,Yokadouma,CM,2020-09-03 17:09:55,3.52,15.05,73.65,91,99,0.83
229,Luwuk,ID,2020-09-03 17:09:55,-0.95,122.79,77.67,76,100,5.68
230,Yanam,IN,2020-09-03 17:09:56,16.73,82.22,80.6,88,40,4.7
231,Volga,RU,2020-09-03 17:09:56,57.95,38.39,57.38,73,85,9.17
