City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Pasighat,IN,77.18,broken clouds,28.07,95.33,Siang Guest House
357,Novopokrovka,UA,77.0,overcast clouds,49.84,36.55,Пудж дом
359,Abu Kamal,SY,85.53,clear sky,34.45,40.92,محطة التلفاز
360,Petatlan,MX,91.4,scattered clouds,17.52,-101.27,Hotel California Petatlán
364,Palmer,US,81.0,broken clouds,42.16,-72.33,Wedgewood Motel
365,Nagua,DO,78.8,light rain,19.38,-69.85,Hotel Cambri
366,Marti,CU,91.4,scattered clouds,22.95,-80.92,
367,Vila Velha,BR,80.01,few clouds,-20.33,-40.29,Hotel Vitória Palace
369,North Platte,US,80.01,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
370,Harper,LR,75.92,light rain,4.38,-7.72,Screensaver
371,Labrea,BR,91.26,overcast clouds,-7.26,-64.8,Hotel Novo Horizonte
373,Dwarka,IN,81.36,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
376,Goure,NE,82.96,broken clouds,13.98,10.27,
377,Lagunas,PE,90.68,broken clouds,-5.23,-75.68,Hospedaje Eco
379,Marawi,PH,75.0,overcast clouds,8.0,124.29,Salihmaruhom
381,Imbituba,BR,75.2,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
384,Jaru,BR,99.21,scattered clouds,-10.44,-62.47,Hotel Paraná
385,Manta,EC,77.0,few clouds,-0.95,-80.73,Balandra Hotel
389,Katsuura,JP,82.0,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
390,Gat,IL,84.99,clear sky,31.61,34.76,OlusHome
392,Iralaya,HN,84.2,broken clouds,15.0,-83.23,Iglesia morava renovada
395,Bonanza,NI,81.99,light rain,14.03,-84.59,Edificio Administrativo HEMCO
397,Lorengau,PG,82.62,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
403,Faanui,PF,78.1,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
404,Diu,IN,78.39,clear sky,20.71,70.98,Hotel Relax Inn
407,Baoning,CN,77.0,scattered clouds,25.34,110.03,
412,Elat,IL,98.6,clear sky,29.56,34.95,Club Hotel Eilat
417,Bloomfield,US,86.0,overcast clouds,40.81,-74.19,Howard Johnson by Wyndham Clifton NJ
420,Sao Miguel Do Araguaia,BR,88.54,broken clouds,-13.28,-50.16,Hotel Executivo Palace
421,Akyab,MM,80.47,overcast clouds,20.15,92.9,Hotel Memory
423,Manoel Urbano,BR,94.77,broken clouds,-8.84,-69.26,Baixada Beira Rio
424,Rucheng,CN,77.0,light rain,32.39,120.56,Vienna Hotel Rugao Zhengxiang Square
426,Orbetello,IT,78.01,clear sky,42.44,11.22,Argentario Golf Resort & Spa
427,Jalu,LY,89.67,clear sky,29.03,21.55,Jalu Hotel
431,Chaiyaphum,TH,77.47,broken clouds,15.75,102.0,Hotel Resort Pakjai
433,Manaus,BR,82.4,scattered clouds,-3.1,-60.02,Hotel do Largo
436,Rancharia,BR,91.4,clear sky,-22.23,-50.89,Eros Motel
437,Itaituba,BR,96.8,few clouds,-4.28,-55.98,Hotel Campos
439,West Bay,KY,89.01,few clouds,19.37,-81.42,Calypso Cove
444,Santa Ana,US,90.0,clear sky,33.75,-117.87,Best Western Plus Orange County Airport North
445,Saint-Georges,GD,82.4,broken clouds,12.06,-61.75,Siesta Hotel
447,Portland,US,90.0,clear sky,45.52,-122.68,Portland Marriott City Center
448,Finschhafen,PG,78.82,overcast clouds,-6.6,147.87,Cossam Guest House
453,Santarem,BR,87.8,broken clouds,-2.44,-54.71,Hotel Imperador
457,Hobyo,SO,76.62,broken clouds,5.35,48.53,Osmani Hotel
460,Colomi,BO,84.2,few clouds,-17.35,-65.87,Residencial EL TURISMO
462,Riosucio,CO,78.8,scattered clouds,5.42,-75.7,Finca Cafe La Ermita
465,Atar,MR,96.62,clear sky,20.52,-13.05,Oumou Elghoura
468,Hirara,JP,83.39,heavy intensity rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
469,Katiola,CI,75.2,scattered clouds,8.13,-5.1,Kakoumani
474,Anito,PH,78.04,overcast clouds,12.45,125.29,The Yellow House
476,Nishihara,JP,80.6,few clouds,26.18,127.76,Minshuku Agaihama
477,Makakilo City,US,84.2,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
478,Hami,CN,75.72,broken clouds,42.8,93.45,Laoyutang Resort
485,Auki,SB,81.32,light rain,-8.77,160.7,Auki Motel
486,Riyadh,SA,87.8,clear sky,24.69,46.72,InterContinental Riyadh
489,Conceicao Do Araguaia,BR,93.25,scattered clouds,-8.26,-49.26,Tarumã Tropical Hotel
493,Bucak,TR,82.4,clear sky,37.46,30.59,Elvan Apart
496,Ladozhskaya,RU,80.6,broken clouds,45.31,39.94,Gostinichnyy Kompleks
499,North Bend,US,80.01,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
501,Bonfim,BR,86.88,scattered clouds,3.08,-59.95,
502,Mayo,US,89.6,clear sky,38.89,-76.51,Resorts Resource Group International
503,Garowe,SO,76.96,broken clouds,8.41,48.48,Curubo Hotel
504,Licata,IT,75.2,scattered clouds,37.11,13.95,Villa Giuliana
507,Phuket,TH,84.99,light rain,8.0,98.25,The Surin Phuket
511,Veraval,IN,79.65,few clouds,20.9,70.37,Lords Inn Somnath
512,Anori,BR,91.54,broken clouds,-3.77,-61.64,Novo Hotel 05 Irmaos
513,Afogados Da Ingazeira,BR,78.66,broken clouds,-7.75,-37.64,Hotel Brotas
514,Cayenne,GF,86.0,light rain,4.93,-52.33,Hôtel Le Dronmi
515,Brookhaven,US,93.0,clear sky,31.58,-90.44,Americas Best Value Inn Brookhaven
518,Abu Samrah,SY,88.56,clear sky,35.3,37.18,
519,Lufilufi,WS,87.8,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
523,Kalmunai,LK,80.1,overcast clouds,7.42,81.82,VS Villa
526,Dawei,MM,77.77,overcast clouds,14.08,98.2,Hotel Dawei
527,Bandarbeyla,SO,76.08,broken clouds,9.49,50.81,REER XOOSHLE GROUP
528,Bengkulu,ID,75.97,light rain,-3.8,102.27,Grage Hotel Bengkulu
532,Danville,US,91.99,few clouds,36.59,-79.39,Holiday Inn Express Danville
533,Turbat,PK,84.56,clear sky,26.0,63.04,Mubashar Quarters
534,Ko Samui,TH,83.03,overcast clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
546,Bobo Dioulasso,BF,75.2,thunderstorm,11.18,-4.3,Rasma Bed and Breakfast
547,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
549,Nador,MA,77.0,scattered clouds,35.17,-2.93,Hôtel La Giralda
550,San Matias,BO,97.2,few clouds,-16.37,-58.4,"HOTEL ""SAN JOSE"""
553,Matadi,CD,77.16,broken clouds,-5.82,13.45,Hotel Fortune
554,Warri,NG,76.6,overcast clouds,5.52,5.75,BON Hotel Delta
558,Oistins,BB,80.6,light rain,13.07,-59.53,Butterfly Beach Hotel
562,Sidi Bin Nur,TN,77.0,few clouds,35.53,10.92,
564,Bilma,NE,91.08,broken clouds,18.69,12.92,Expeditions Ténére voyages
565,Iracoubo,GF,81.93,few clouds,5.48,-53.2,Le Gite D Iracoubo
566,Karema,TZ,75.42,clear sky,-6.82,30.44,
573,Commerce,US,91.0,clear sky,34.0,-118.16,DoubleTree by Hilton Hotel Los Angeles - Commerce
574,Kuryk,KZ,78.51,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
576,Canutama,BR,92.8,broken clouds,-6.53,-64.38,Hotel Jhennifer
579,Labuhan,ID,77.74,scattered clouds,-6.88,112.21,bador sepret
581,Tuy Hoa,VN,77.22,broken clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
582,Tucumcari,US,91.4,clear sky,35.17,-103.72,Holiday Inn Express & Suites Tucumcari
587,Candido Mendes,BR,79.14,broken clouds,-1.45,-45.72,Quebrada Do Mlk PJL
589,Ishigaki,JP,83.97,light rain,24.34,124.16,Hotel Peace Land Ishigakijima
590,Hasaki,JP,79.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
594,Elko,US,91.99,clear sky,41.0,-115.5,
595,Tabou,CI,75.7,light rain,4.42,-7.35,hotêl doufoulougou
600,Ambon,ID,75.2,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
602,Ken Caryl,US,87.01,clear sky,39.58,-105.12,Hampton Inn & Suites Denver Littleton
603,Impfondo,CG,75.69,broken clouds,1.64,18.07,Préfecture de la Likouala
606,Masallatah,LY,75.34,scattered clouds,32.62,14.0,Mohamed Ahmed Salem
607,Green River,US,80.6,clear sky,41.53,-109.47,Hampton Inn & Suites Green River
609,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
610,Alugan,PH,77.77,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
611,Axim,GH,75.42,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
613,Dakar,SN,80.6,broken clouds,14.69,-17.44,Novotel Dakar
615,Afua,BR,83.28,scattered clouds,-0.16,-50.39,Hotel Dias
617,Tessalit,ML,86.77,overcast clouds,20.2,1.01,
619,Joao Pinheiro,BR,75.74,broken clouds,-17.74,-46.17,Hotel Santos
620,Wilmington,US,96.8,scattered clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
621,Bom Jesus,BR,87.08,scattered clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
622,Safaga,EG,91.4,clear sky,26.73,33.94,Lamar Resort Abu Soma
623,Ndende,GA,75.47,light rain,-2.4,11.36,
627,El Dorado,US,84.2,few clouds,33.21,-92.67,"Country Inn & Suites by Radisson, El Dorado, AR"
628,Benghazi,LY,79.09,clear sky,32.12,20.07,Tibesti Hotel
631,Kirakira,SB,81.27,light rain,-10.45,161.92,SanBiz Lodge
633,Khorramabad,IR,77.0,heavy intensity rain,33.49,48.36,Azadi Hotel
638,Sturgeon Falls,CA,75.99,broken clouds,46.36,-79.93,Lincoln Motel
639,Sola,VU,77.38,overcast clouds,-13.88,167.55,Leumerus Bungalows
640,San Pedro,PH,82.4,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
641,Abdanan,IR,82.31,clear sky,32.99,47.42,سیروس عنبری
642,Marsh Harbour,BS,85.44,broken clouds,26.54,-77.06,Abaco Beach Resort
646,Rabaul,PG,80.46,overcast clouds,-4.2,152.17,Rabaul Hotel
648,Ambulu,ID,75.36,scattered clouds,-8.35,113.61,Hotel Ambulu Jember
649,Corrales,US,96.01,clear sky,35.24,-106.61,Hilton Garden Inn Albuquerque North/Rio Rancho
650,Filadelfia,US,89.01,broken clouds,39.95,-75.16,Loews Philadelphia Hotel
653,Marzuq,YE,80.2,clear sky,14.4,46.47,
660,Laem Sing,TH,84.0,overcast clouds,12.48,102.07,Laemsing Whitehouse Resort
664,Manzanillo,CU,89.15,broken clouds,20.34,-77.12,Adrian & Tonia
665,San Rafael Del Sur,NI,91.4,scattered clouds,11.85,-86.44,Hospedaje El Chino
666,Kavaratti,IN,82.0,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
669,Narsimhapur,IN,75.13,broken clouds,22.95,79.2,STARiHOTELS Narsinghpur
670,Merauke,ID,77.65,overcast clouds,-8.47,140.33,
672,Minokamo,JP,78.01,overcast clouds,35.48,137.02,料理旅館 富士
674,Weligama,LK,79.03,few clouds,5.97,80.42,Weligama Bay Resort
675,San Felipe,VE,82.89,few clouds,10.34,-68.74,Posada Llovizna Rodríguez
676,Rach Gia,VN,82.17,few clouds,10.02,105.08,Nhà Hàng Hòa Giang
678,San Anselmo,US,75.2,clear sky,37.97,-122.56,Four Points by Sheraton San Rafael Marin County
681,Burien,US,82.99,clear sky,47.47,-122.35,Red Roof Inn Seattle Airport - SEATAC
683,Kasongo-Lunda,CD,79.43,overcast clouds,-6.47,16.82,
